project_id,name,description,created_at,updated_at,npm_package
@chakra-ui/react,Chakra UI,"Simple, modular and accessible component library",2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
@mantine/core,Mantine,React components library with native dark theme support,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
@mui/material,Material-UI,React components for faster and easier web development,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
@nextui-org/react,NextUI,"Beautiful, fast and modern React UI library",2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
@tanstack/react-query,TanStack Query,Powerful asynchronous state management for TS/JS,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
@tanstack/react-table,TanStack Table,Headless UI for building powerful tables and datagrids,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
@testing-library/react,React Testing Library,Simple and complete React DOM testing utilities,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
angular/angular,Angular,Deliver web apps with confidence,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
ant-design/ant-design,Ant Design,An enterprise-class UI design language and React UI library,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
auth0/node-jsonwebtoken,jsonwebtoken,JSON Web Token implementation (symmetric and asymmetric),2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
Automattic/mongoose,Mongoose,Elegant MongoDB object modeling for Node.js,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
axios/axios,Axios,Promise based HTTP client for the browser and node.js,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
chakra-ui/chakra-ui,Chakra UI,"Simple, modular and accessible component library",2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
colinhacks/zod,Zod,TypeScript-first schema validation with static type inference,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
date-fns/date-fns,date-fns,Modern JavaScript date utility library,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
dcodeIO/bcrypt.js,bcrypt.js,Optimized bcrypt in plain JavaScript with zero dependencies,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
drizzle-orm/drizzle-orm,Drizzle ORM,TypeScript ORM for SQL databases,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
eslint/eslint,ESLint,Find and fix problems in your JavaScript code,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
expressjs/cors,CORS,Node.js CORS middleware,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
expressjs/express,Express,"Fast, unopinionated, minimalist web framework for Node.js",2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
expressjs/multer,Multer,Middleware for handling multipart/form-data,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
facebook/jest,Jest,Delightful JavaScript Testing Framework with a focus on simplicity,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
facebook/react,React,The library for web and native user interfaces,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
fastify/fastify,Fastify,Fast and low overhead web framework for Node.js,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
helmetjs/helmet,Helmet,Help secure Express apps with various HTTP headers,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
iamkun/dayjs,Day.js,2KB immutable date-time library alternative to Moment.js,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
jaredhanson/passport,Passport,"Simple, unobtrusive authentication for Node.js",2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
jquense/yup,Yup,Dead simple Object schema validation,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
lodash/lodash,Lodash,"A modern JavaScript utility library delivering modularity, performance & extras",2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
mantine/mantine,Mantine,React components library with native dark theme support,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
mui/material-ui,Material-UI,React components for faster and easier web development,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
nextui-org/nextui,NextUI,"Beautiful, fast and modern React UI library",2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
prettier/prettier,Prettier,An opinionated code formatter,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
prisma/prisma,Prisma,Next-generation ORM for Node.js and TypeScript,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
react-hook-form/react-hook-form,React Hook Form,"Performant, flexible and extensible forms with easy validation",2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
rollup/rollup,Rollup,Next-generation ES module bundler,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
sequelize/sequelize,Sequelize,Feature-rich ORM for modern Node.js and TypeScript,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
supabase/supabase,Supabase,The open source Firebase alternative,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
sveltejs/svelte,Svelte,Cybernetically enhanced web apps,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
tailwindlabs/tailwindcss,Tailwind CSS,A utility-first CSS framework for rapid UI development,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
tanstack/react-query,TanStack Query,Powerful asynchronous state management for TS/JS,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
tanstack/react-table,TanStack Table,Headless UI for building powerful tables and datagrids,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
testing-library/react-testing-library,React Testing Library,Simple and complete React DOM testing utilities,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
typeorm/typeorm,TypeORM,ORM for TypeScript and JavaScript,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
vercel/next.js,Next.js,The React Framework for Production,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
vitejs/vite,Vite,Next generation frontend tooling,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
vitest-dev/vitest,Vitest,A Vite-native unit test framework,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
vuejs/vue,Vue.js,The Progressive JavaScript Framework,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,
webpack/webpack,Webpack,A bundler for javascript and friends,2025-07-16 23:42:40.643323+00,2025-07-16 23:42:40.643323+00,